school,school_short,name,position,weight,height,year,hometown,state,conference,county_code,state_code
Hofstra Pride,Hofstra,Eliel Gonzalez,G,75,200,FR,"Cayey, Puerto Rico",Puerto Rico,Colonial,0,0
James Madison Dukes,James Madison,Andrey Semenov,F,79,200,SR,"St. Petersburg, Russia",Russia,Colonial,0,0
James Madison Dukes,James Madison,Paulius Satkus,F,80,215,FR,--,--,Colonial,0,0
James Madison Dukes,James Madison,Tom Vodanovich,F,80,220,FR,"Wellington, New Zealand",New Zealand,Colonial,0,0
James Madison Dukes,James Madison,Dimitrije Cabarkapa,F,82,240,SO,--,--,Colonial,0,0
James Madison Dukes,James Madison,Yohanny Dalembert,F,80,225,FR,"Port-au-prince, Haiti",Haiti,Colonial,0,0
James Madison Dukes,James Madison,Ivan Lukic,F,80,220,FR,--,--,Colonial,0,0
North Carolina-Wilmington Seahawks,UNC-Wilmington,Yemi Makanjuola,C,80,250,JR,"Lagos, Nigeria",Nigeria,Colonial,0,0
North Carolina-Wilmington Seahawks,UNC-Wilmington,Chuck Ogbodo,F,81,230,FR,"Enugu, Nigeria",Nigeria,Colonial,0,0
Northeastern Huskies,Northeastern,Quincy Ford,G-F,80,212,JR,--,--,Colonial,0,0
Charlotte 49ers,Charlotte,Ivan Benkovic,G,78,213,SO,"Zagreb, Croatia",Croatia,Conference USA,0,0
East Carolina Pirates,East Carolina,Petar Torlak,G,74,185,SR,--,--,Conference USA,0,0
Florida Atlantic Owls,Florida Atl,Dragan Sekelja,C,84,250,SR,"Zagreb, Croatia",Croatia,Conference USA,0,0
Florida Atlantic Owls,Florida Atl,Javier Lacunza,F,80,210,SO,"Pamplona, Spain",Spain,Conference USA,0,0
Florida Atlantic Owls,Florida Atl,Justin Raffington,C,81,245,JR,"Freiburg, Germany",Germany,Conference USA,0,0
Florida Atlantic Owls,Florida Atl,Tyler Pate,G,75,190,FR,--,--,Conference USA,0,0
Florida Atlantic Owls,Florida Atl,Pablo Bertone,G,76,198,SR,--,--,Conference USA,0,0
Florida International Golden Panthers,FIU,Marco Porcher Jimenez,G,76,185,JR,"Malaga, Spain",Spain,Conference USA,0,0
Florida International Golden Panthers,FIU,Ivan Jurkovic,C,84,265,SR,"Zagreb, Croatia",Croatia,Conference USA,0,0
Louisiana Tech Bulldogs,Louisiana Tech,Kenneth Smith,G,75,180,JR,--,--,Conference USA,0,0
Louisiana Tech Bulldogs,Louisiana Tech,Stojan Gjuroski,F,80,205,JR,--,--,Conference USA,0,0
Louisiana Tech Bulldogs,Louisiana Tech,Kk Babin,NA,0,0, -- ,--,--,Conference USA,0,0
Louisiana Tech Bulldogs,Louisiana Tech,Jonmarie Guillory,NA,0,0, -- ,--,--,Conference USA,0,0
Louisiana Tech Bulldogs,Louisiana Tech,Marina Lilly,NA,0,0, -- ,--,--,Conference USA,0,0
Louisiana Tech Bulldogs,Louisiana Tech,Taylor Morrison,NA,0,0, -- ,--,--,Conference USA,0,0
Louisiana Tech Bulldogs,Louisiana Tech,Jenny Nash,NA,0,0, -- ,--,--,Conference USA,0,0
Louisiana Tech Bulldogs,Louisiana Tech,Jasmine Scott,NA,0,0, -- ,--,--,Conference USA,0,0
Louisiana Tech Bulldogs,Louisiana Tech,Emani White,NA,0,0, -- ,--,--,Conference USA,0,0
Marshall Thundering Herd,Marshall,Cheikh Sane,F,81,225,JR,"Dakar, Senegal",Senegal,Conference USA,0,0
Marshall Thundering Herd,Marshall,JP Kambola,C,81,244,JR,"Toronto, ON",ON,Conference USA,0,0
Marshall Thundering Herd,Marshall,Yous Mbao,C,86,250,SR,--,--,Conference USA,0,0
North Texas Mean Green,North Texas,Maurice Aniefiok,G-F,77,212,SO,"Lagos, Nigeria",Nigeria,Conference USA,0,0
Old Dominion Monarchs,Old Dominion,Denzell Taylor,F,79,210,FR,"Brampton, ON",ON,Conference USA,0,0
Old Dominion Monarchs,Old Dominion,Anton Larsen,C,84,245,SR,"Copenhagen, Denmark",Denmark,Conference USA,0,0
Rice Owls,Rice,Sean Obi,F,81,265,FR,--,--,Conference USA,0,0
Rice Owls,Rice,Nizar Kapic,G-F,78,205,FR,--,--,Conference USA,0,0
Rice Owls,Rice,Ross Wilson,F,79,215,SO,--,--,Conference USA,0,0
Southern Miss Golden Eagles,Southern Miss,Matt Bingaya,G-F,77,200,SO,--,--,Conference USA,0,0
Southern Miss Golden Eagles,Southern Miss,Davon Hayes,G-F,78,190,FR,--,--,Conference USA,0,0
Southern Miss Golden Eagles,Southern Miss,Norville Carey,F,79,220,SO,--,--,Conference USA,0,0
Southern Miss Golden Eagles,Southern Miss,Jeremiah Eason,F,79,230,JR,--,--,Conference USA,0,0
Southern Miss Golden Eagles,Southern Miss,Ude Ifeanyichukwu,F,82,235,JR,--,--,Conference USA,0,0
Tulane Green Wave,Tulane,Mikael Herbert,F,81,210,FR,--,--,Conference USA,0,0
Tulane Green Wave,Tulane,Ray Barreno,C,83,260,FR,--,--,Conference USA,0,0
Tulane Green Wave,Tulane,Tomas Bruha,C,84,235,SR,"Prague, Czech Republic",Czech Republic,Conference USA,0,0
Tulsa Golden Hurricane,Tulsa,Emmanuel Ezechinonso,F,83,275,FR,"Lagos, Nigeria",Nigeria,Conference USA,0,0
UAB Blazers,UAB,Fahro Alihodzic,C,82,250,SR,--,--,Conference USA,0,0
UTEP Miners,UTEP,Jake Flaggert,G-F,79,195,FR,--,--,Conference USA,0,0
UTEP Miners,UTEP,Matt Willms,C,85,220,FR,"Leamington, ON",ON,Conference USA,0,0
UTSA Roadrunners,UTSA,Jeromie Hill,F,80,230,SR,--,--,Conference USA,0,0
UTSA Roadrunners,UTSA,Edrico McGregor,F-C,79,225,SR,"Nassau, Bahamas",Bahamas,Conference USA,0,0
UTSA Roadrunners,UTSA,Phillip Jones,F,78,200,FR,--,--,Conference USA,0,0
N.J.I.T. Highlanders,N.J.I.T.,Emmanuel Tselentakis,G,77,205,SO,"Thessaloniki, Greece",Greece,Independents,0,0
N.J.I.T. Highlanders,N.J.I.T.,Vlad Shustov,F,82,225,FR,--,--,Independents,0,0
Cleveland State Vikings,Cleveland State,Ismaila Dauda,C,82,250,JR,--,--,Horizon,0,0
Cleveland State Vikings,Cleveland State,Ludovic Ndaye,F,81,240,SR,"Montreal, PQ",PQ,Horizon,0,0
Detroit Titans,Detroit,Ugochukwu Njoku,C,82,220,SR,"Lagos, Nigeria",Nigeria,Horizon,0,0
Detroit Titans,Detroit,Jermaine Lippert,F,80,230,SR,"Munich, Germany",Germany,Horizon,0,0
Detroit Titans,Detroit,Olumide Solanke,C,83,244,SR,"Lagos, Nigeria",Nigeria,Horizon,0,0
Green Bay Phoenix,Green Bay,Tevin Findlay,G,76,190,FR,"Toronto, ON",ON,Horizon,0,0
Green Bay Phoenix,Green Bay,Kenneth Lowe,F,80,230,FR,--,--,Horizon,0,0
Illinois-Chicago Flames,UIC,Hans-Christian Lauer,F,79,210,FR,--,--,Horizon,0,0
Milwaukee Panthers,Milwaukee,Thierno Niang,G,73,205,SR,"Dakar, Senegal",Senegal,Horizon,0,0
Valparaiso Crusaders,Valparaiso,Moussa Gueye,C,84,270,SR,"Dakar, Senegal",Senegal,Horizon,0,0
Valparaiso Crusaders,Valparaiso,Vashil Fernandez,F,82,245,JR,"Kingston, Jamaica",Jamaica,Horizon,0,0
Youngstown State Penguins,Youngstown St,Shawn Amiker,G,0,0, -- ,--,--,Horizon,0,0
Youngstown State Penguins,Youngstown St,Ronnye Beaman,NA,0,0, -- ,--,--,Horizon,0,0
Youngstown State Penguins,Youngstown St,Larry Johnson jr.,NA,0,0, -- ,--,--,Horizon,0,0
Brown Bears,Brown,Longji Yiljep,G,77,185,JR,--,--,Ivy,0,0
Brown Bears,Brown,Matty Madigan,G,76,190,FR,--,--,Ivy,0,0
Brown Bears,Brown,Rafael Maia,F,81,230,JR,"Santa Cruz, Brazil",Brazil,Ivy,0,0
Brown Bears,Brown,Josh Biber,NA,0,0, -- ,--,--,Ivy,0,0
Brown Bears,Brown,Tavon Blackman,NA,0,0, -- ,--,--,Ivy,0,0
Columbia Lions,Columbia,Grant Mullins,G,75,175,SO,"Burlington, ON",ON,Ivy,0,0
Columbia Lions,Columbia,Maodo Lo,G,75,180,SO,"Berlin, Germany",Germany,Ivy,0,0
Columbia Lions,Columbia,Chris McComber,F,80,225,FR,"Nepean, ON",ON,Ivy,0,0
Columbia Lions,Columbia,Conor Voss,C,85,245,FR,--,--,Ivy,0,0
Cornell Big Red,Cornell,Braxston Bunce,C,83,250,SO,"Kelowna, BC",BC,Ivy,0,0
Cornell Big Red,Cornell,Deion Giddens,F-C,81,202,JR,"Bitburg, Germany",Germany,Ivy,0,0
Dartmouth Big Green,Dartmouth,Gabas Maldunas,F-C,81,230,JR,--,--,Ivy,0,0
Harvard Crimson,Harvard,Steve Moundou-Missi,F,79,225,JR,"Yaounde, Cameroon",Cameroon,Ivy,0,0
Harvard Crimson,Harvard,Patrick Steeves,G-F,79,220,SO,"Montreal, PQ",PQ,Ivy,0,0
Harvard Crimson,Harvard,Agunwa Okolie,G-F,80,205,SO,"Ajax, ON",ON,Ivy,0,0
Harvard Crimson,Harvard,Laurent Rivard,G,77,215,SR,--,--,Ivy,0,0
Pennsylvania Quakers,Pennsylvania,Simeon Esprit,G,78,175,JR,"London, England",England,Ivy,0,0
Pennsylvania Quakers,Pennsylvania,Keelan Cairns,F,82,210,JR,"Belfast, Ireland",Ireland,Ivy,0,0
Princeton Tigers,Princeton,Will Barrett,F,82,197,SR,--,--,Ivy,0,0
Princeton Tigers,Princeton,Edo Lawrence,C,85,220,SO,"London, England",England,Ivy,0,0
Yale Bulldogs,Yale,Javier Duren,G,76,185,JR,--,--,Ivy,0,0
Yale Bulldogs,Yale,Will Childs-Klein,C,83,225,JR,--,--,Ivy,0,0
Canisius Golden Griffins,Canisius,Kassius Robertson,G,75,169,FR,"Toronto, ON",ON,MAAC,0,0
Canisius Golden Griffins,Canisius,Kevin Bleeker,C,82,225,SO,--,--,MAAC,0,0
Canisius Golden Griffins,Canisius,Chris Perez,G,75,210,SR,"Santiago, Dominican Republic",Dominican Republic,MAAC,0,0
Marist Red Foxes,Marist,Pieter Prinsloo,C,82,225,SR,"Johannesburg, South Africa",South Africa,MAAC,0,0
Monmouth Hawks,Monmouth,Vuk Baletic,F,81,225,FR,--,--,MAAC,0,0
Monmouth Hawks,Monmouth,Marcelo Ruediger,C,82,245,FR,--,--,MAAC,0,0
Niagara Purple Eagles,Niagara,Alex Dubovitskiy,G-F,77,195,FR,"Moscow, Russia",Russia,MAAC,0,0
Rider Broncs,Rider,Teddy Okereafor,G,76,191,JR,"London, England",England,MAAC,0,0
Rider Broncs,Rider,Brandon Channer,G,75,215,FR,--,--,MAAC,0,0
Rider Broncs,Rider,Junior Fortunat,F,81,235,JR,--,--,MAAC,0,0
Rider Broncs,Rider,Tommy Pereira,G,74,190,SR,"Nottingham, England",England,MAAC,0,0
Rider Broncs,Rider,Kahlil Thomas,F,79,204,FR,--,--,MAAC,0,0
Siena Saints,Siena,Jimmy Merrill,F,81,207,FR,--,--,MAAC,0,0
Siena Saints,Siena,Imoh Silas,C,80,223,JR,"Lagos, Nigeria",Nigeria,MAAC,0,0
Siena Saints,Siena,Rich Audu,G,75,191,SO,"Toronto, ON",ON,MAAC,0,0
St. Peter's Peacocks,St. Peter's,Mohamed Farih,F,76,190,JR,--,--,MAAC,0,0
St. Peter's Peacocks,St. Peter's,Elias Desport,F,79,213,SO,"Stockholm, Sweden",Sweden,MAAC,0,0
Akron Zips,Akron,Carmelo Betancourt,G,71,182,SO,"Rio Piedras, Puerto Rico",Puerto Rico,Mid-American,0,0
Akron Zips,Akron,Jonas Stalyga,F,80,220,JR,"Vilnius, Lithuania",Lithuania,Mid-American,0,0
Akron Zips,Akron,Ricardo Hill,NA,0,0,FR,--,--,Mid-American,0,0
Akron Zips,Akron,Jared Kortsen,F,0,0, -- ,--,--,Mid-American,0,0
Akron Zips,Akron,Jared Kortsen,F,0,0, -- ,--,--,Mid-American,0,0
Akron Zips,Akron,Mark Noble,NA,0,0, -- ,--,--,Mid-American,0,0
Ball State Cardinals,Ball State,Quinten Payne,G,77,187,FR,--,--,Mid-American,0,0
Ball State Cardinals,Ball State,Majok Majok,C,81,220,SR,--,--,Mid-American,0,0
Bowling Green Falcons,Bowling Green,Brandon Busuttil,G,76,200, -- ,"Kitchener, ON",ON,Mid-American,0,0
Bowling Green Falcons,Bowling Green,Michael Gallagher,G,76,225,FR,--,--,Mid-American,0,0
Buffalo Bulls,Buffalo,Jarryn Skeete,G,75,175,SO,--,--,Mid-American,0,0
Central Michigan Chippewas,Cent Michigan,Rayshawn Simmons,G,76,182,SO,--,--,Mid-American,0,0
Central Michigan Chippewas,Cent Michigan,Milos Cabarkapa,C,84,233,FR,"Belgrade, Yugoslavia",Yugoslavia,Mid-American,0,0
Central Michigan Chippewas,Cent Michigan,Tanner Beachnau,NA,0,0,FR,--,--,Mid-American,0,0
Eastern Michigan Eagles,E Michigan,Lekan Ajayi,F-C,82,245,SO,"Lagos, Nigeria",Nigeria,Mid-American,0,0
Eastern Michigan Eagles,E Michigan,Lekan Ajayi,NA,0,0, -- ,--,--,Mid-American,0,0
Miami (OH) RedHawks,Miami (OH),Jaryd Eustace,G,79,187,FR,--,--,Mid-American,0,0
Miami (OH) RedHawks,Miami (OH),Joshua Oswald,F,79,210,FR,--,--,Mid-American,0,0
Northern Illinois Huskies,N Illinois,Aksel Bolin,G-F,79,220,SR,--,--,Mid-American,0,0
Northern Illinois Huskies,N Illinois,Marin Maric,C,82,240,FR,"Split, Croatia",Croatia,Mid-American,0,0
Ohio Bobcats,Ohio,Maurice Ndour,F,81,203,JR,--,--,Mid-American,0,0
Toledo Rockets,Toledo,Angel Aparicio,G,77,195,SO,"Benicarlo, Spain",Spain,Mid-American,0,0
Western Michigan Broncos,W Michigan,Mario Matasovic,F,80,215,FR,--,--,Mid-American,0,0
Delaware State Hornets,Delaware State,Mrdjan Gasevic,F,79,235,FR,--,--,MEAC,0,0
Delaware State Hornets,Delaware State,Mrdjan Gaesevic,F,0,0, -- ,--,--,MEAC,0,0
Florida A&M Rattlers,Florida A&M,Onyekachukwu Odi,F,80,230,SR,"Lagos, Nigeria",Nigeria,MEAC,0,0
Hampton Pirates,Hampton,Breon Key,G,74,185,SO,--,--,MEAC,0,0
Hampton Pirates,Hampton,Jervon Pressley,F,80,250,SO,--,--,MEAC,0,0
Howard Bison,Howard,Jared Norsworthy,F,74,170,JR,--,--,MEAC,0,0
Howard Bison,Howard,Theodore Boyomo,F-C,80,230,SR,--,--,MEAC,0,0
Howard Bison,Howard,Tyler Stone,F,79,205,FR,"Toronto, ON",ON,MEAC,0,0
Maryland-Eastern Shore Hawks,MD-E Shore,Ishaq Pitt,G,75,210,JR,"Toronto, ON",ON,MEAC,0,0
Maryland-Eastern Shore Hawks,MD-E Shore,Travis Trim,G,73,215,SO,--,--,MEAC,0,0
Maryland-Eastern Shore Hawks,MD-E Shore,Pina Guillaume,F-C,81,230,SR,--,--,MEAC,0,0
Maryland-Eastern Shore Hawks,MD-E Shore,Francis Ezeiru,C,82,260,SR,"Lagos, Nigeria",Nigeria,MEAC,0,0
Morgan State Bears,Morgan State,Justin Black,G,74,220,SR,--,--,MEAC,0,0
Norfolk State Spartans,Norfolk State,Paulius Vinogradovas,C,85,210,JR,--,--,MEAC,0,0
Norfolk State Spartans,Norfolk State,Hefeng Sun,F,80,245,SO,--,--,MEAC,0,0
North Carolina A&T Aggies,N Carolina A&T,Khary Doby,F,78,206,FR,--,--,MEAC,0,0
North Carolina Central Eagles,N Carolina Cent,Karamo Jawara,F,80,220,JR,"Bergen, Norway",Norway,MEAC,0,0
North Carolina Central Eagles,N Carolina Cent,Antonin Galaya,G,77,200,SR,--,--,MEAC,0,0
South Carolina State Bulldogs,S Carolina St,Luka Radovic,F,81,220,JR,--,--,MEAC,0,0
South Carolina State Bulldogs,S Carolina St,Adama Adams,NA,73,180,SR,"Dakar, Senegal",Senegal,MEAC,0,0
Bradley Braves,Bradley,Darrion Harris,G,70,155,SO,--,--,Missouri Valley,0,0
Bradley Braves,Bradley,Jordan Swopshire,G,78,205,FR,--,--,Missouri Valley,0,0
Bradley Braves,Bradley,Stefan Zecevic,G,78,200,FR,--,--,Missouri Valley,0,0
Drake Bulldogs,Drake,Jacob Enevold Jensen,C,83,240,FR,--,--,Missouri Valley,0,0
Drake Bulldogs,Drake,Addison Joseph,G,75,175,FR,--,--,Missouri Valley,0,0
Drake Bulldogs,Drake,Chris Caird,G-F,78,215,JR,--,--,Missouri Valley,0,0
Drake Bulldogs,Drake,Spencer Mocarski,G,70,165,FR,--,--,Missouri Valley,0,0
Evansville Aces,Evansville,Christian Benzon,G,76,195,FR,"Copenhagen, Denmark",Denmark,Missouri Valley,0,0
Evansville Aces,Evansville,Mislav Brzoja,G,76,205,SO,"Zagreb, Croatia",Croatia,Missouri Valley,0,0
Evansville Aces,Evansville,Rokas Cesnulevicius,F-C,80,210,JR,--,--,Missouri Valley,0,0
Evansville Aces,Evansville,Egidijus Mockevicius,C,82,225,SO,"Vilnius, Lithuania",Lithuania,Missouri Valley,0,0
Illinois State Redbirds,Illinois State,John Jones,F,81,260,JR,--,--,Missouri Valley,0,0
Illinois State Redbirds,Illinois State,MiKyle McIntosh,F,79,230,FR,"Pickering, ON",ON,Missouri Valley,0,0
Illinois State Redbirds,Illinois State,Zach Lofton,G,76,200,SO,--,--,Missouri Valley,0,0
Illinois State Redbirds,Illinois State,Kaza Keane,NA,73,185,SO,"Ajax, ON",ON,Missouri Valley,0,0
Indiana State Sycamores,Indiana State,Manny Arop,G-F,77,215,SR,"Edmonton, AB",AB,Missouri Valley,0,0
Loyola (IL) Ramblers,Loyola (IL),Christian Thomas,G-F,77,220,JR,--,--,Missouri Valley,0,0
Missouri State Bears,Missouri State,Keith Pickens,G-F,76,203,SR,--,--,Missouri Valley,0,0
Missouri State Bears,Missouri State,Ron Mvouika,G-F,78,201,JR,"Paris, France",France,Missouri Valley,0,0
Missouri State Bears,Missouri State,Marcus Marshall,G,75,190,SO,--,--,Missouri Valley,0,0
Missouri State Bears,Missouri State,Devon Thomas,G,72,162,FR,--,--,Missouri Valley,0,0
Missouri State Bears,Missouri State,Emmanuel Addo,F,80,230,SR,"Toronto, ON",ON,Missouri Valley,0,0
Southern Illinois Salukis,S Illinois,Colby Long,G,72,180,SR,--,--,Missouri Valley,0,0
Southern Illinois Salukis,S Illinois,Bola Olaniyan,F,79,225,FR,"Lagos, Nigeria",Nigeria,Missouri Valley,0,0
Wichita State Shockers,Wichita State,Nick Wiggins,G,78,192,SR,"Toronto, ON",ON,Missouri Valley,0,0
Wichita State Shockers,Wichita State,Kadeem Coleby,C,81,251,SR,"Nassau, Bahamas",Bahamas,Missouri Valley,0,0
Wichita State Shockers,Wichita State,Chadrack Lufile,F,81,266,SR,"Burlington, ON",ON,Missouri Valley,0,0
Boise State Broncos,Boise State,Anthony Drmic,G-F,78,192,JR,--,--,Mountain West,0,0
Boise State Broncos,Boise State,Igor Hadziomerovic,G,76,207,JR,--,--,Mountain West,0,0
Boise State Broncos,Boise State,Nick Duncan,F,79,241,FR,--,--,Mountain West,0,0
Boise State Broncos,Boise State,Edmunds Dukulis,F,81,228,SO,--,--,Mountain West,0,0
Boise State Broncos,Boise State,Jake Ness,F,80,231,JR,--,--,Mountain West,0,0
Colorado State Rams,Colorado State,Joe De Ciman,G,76,185,SO,"Regina, SK",SK,Mountain West,0,0
Colorado State Rams,Colorado State,Gerson Santo,F,81,238,SR,--,--,Mountain West,0,0
Colorado State Rams,Colorado State,Enrico Bueno,G,76,200,FR,"Sao Paulo, Brazil",Brazil,Mountain West,0,0
Colorado State Rams,Colorado State,David Cohn,G,74,170,FR,--,--,Mountain West,0,0
Fresno State Bulldogs,Fresno State,Braeden Anderson,F,81,225,SO,"Edmonton, AB",AB,Mountain West,0,0
Fresno State Bulldogs,Fresno State,Emmanuel Owootoah,G,71,175,FR,"Toronto, ON",ON,Mountain West,0,0
Nevada Wolf Pack,Nevada,Stelios Papafloratos,G,76,170,FR,"Athens, Greece",Greece,Mountain West,0,0
Nevada Wolf Pack,Nevada,Cheikh Alioune Fall,F,81,250,SR,--,--,Mountain West,0,0
Nevada Wolf Pack,Nevada,Richard Bell,F,81,215,SO,"West Sussex, England",England,Mountain West,0,0
New Mexico Lobos,New Mexico,Hugh Greenwood,G,75,205,JR,--,--,Mountain West,0,0
New Mexico Lobos,New Mexico,Cameron Bairstow,F,81,250,SR,--,--,Mountain West,0,0
UNLV Rebels,UNLV,Khem Birch,F,81,220,JR,"Montreal, PQ",PQ,Mountain West,0,0
UNLV Rebels,UNLV,Carlos Lopez-Sosa,F,83,225,SR,"Lajas, Puerto Rico",Puerto Rico,Mountain West,0,0
UNLV Rebels,UNLV,Jamal Aytes,G,0,0, -- ,--,--,Mountain West,0,0
Wyoming Cowboys,Wyoming,Nathan Sobey,G,75,185,SR,--,--,Mountain West,0,0
Wyoming Cowboys,Wyoming,Matt Sellers,F,82,245,JR,--,--,Mountain West,0,0
Bryant University Bulldogs,Bryant,Corey Maynard,G,75,185,SR,--,--,Northeast,0,0
Bryant University Bulldogs,Bryant,Declan Soukup,G,75,180,FR,--,--,Northeast,0,0
Bryant University Bulldogs,Bryant,Bosko Kostur,G-F,79,200,FR,--,--,Northeast,0,0
Bryant University Bulldogs,Bryant,Claybrin McMath,F,80,210,SR,--,--,Northeast,0,0
Fairleigh Dickinson Knights,Fair Dickinson,Jayde Dawson,G,74,185,FR,--,--,Northeast,0,0
Fairleigh Dickinson Knights,Fair Dickinson,Mathias Seilund,F,79,205,SR,--,--,Northeast,0,0
LIU Brooklyn Blackbirds,LIU Brooklyn,Troy Joseph,G-F,78,195,JR,"Toronto, ON",ON,Northeast,0,0
Mount St. Mary's Mountaineers,Mount St Mary's,Kristijan Krajina,F,82,245,SR,"Osijek, Croatia",Croatia,Northeast,0,0
Robert Morris Colonials,Robert Morris,Karvel Anderson,G,74,190,SR,--,--,Northeast,0,0
Sacred Heart Pioneers,Sacred Heart,Mostafa Abdel Latif,F,80,230,SR,--,--,Northeast,0,0
Sacred Heart Pioneers,Sacred Heart,Eyimofe Edukugho,F,78,220,SO,--,--,Northeast,0,0
St. Francis (NY) Terriers,St Francis (NY),Ben Mockford,G,74,175,SR,--,--,Northeast,0,0
St. Francis (NY) Terriers,St Francis (NY),Aleksandar Isailovic,G,76,185,SR,--,--,Northeast,0,0
St. Francis U Red Flash,St Francis (PA),Ben Millaud-Meunier,G,73,185,SO,"Montreal, PQ",PQ,Northeast,0,0
St. Francis U Red Flash,St Francis (PA),Dominique Major,G,69,167,JR,--,--,Northeast,0,0
St. Francis U Red Flash,St Francis (PA),Georgios Angelou,G,73,185,FR,--,--,Northeast,0,0
Wagner Seahawks,Wagner,Naofall Folahan,C,83,215,SR,--,--,Northeast,0,0
Wagner Seahawks,Wagner,Hugo Naurais,F,80,210,JR,--,--,Northeast,0,0
Austin Peay Governors,Austin Peay,Serigne Mboup,F-C,79,190,SO,"Dakar, Senegal",Senegal,Ohio Valley,0,0
Belmont Bruins,Belmont,Caleb Chowbay,G,74,175,FR,--,--,Ohio Valley,0,0
Eastern Kentucky Colonels,E Kentucky,Jaylen Babb-Harrison,G,76,187,SO,"Ajax, ON",ON,Ohio Valley,0,0
Jacksonville State Gamecocks,Jacksonville St,Darion Rackley,G,75,170,JR,--,--,Ohio Valley,0,0
Jacksonville State Gamecocks,Jacksonville St,Giovanni Smith,G,73,195,SR,--,--,Ohio Valley,0,0
Jacksonville State Gamecocks,Jacksonville St,Teraes Clemmons,G-F,78,200,JR,--,--,Ohio Valley,0,0
Morehead State Eagles,Morehead State,Luka Pajkovic,G,75,200,JR,--,--,Ohio Valley,0,0
Morehead State Eagles,Morehead State,Chad Posthumus,C,83,265,SR,"Winnipeg, MB",MB,Ohio Valley,0,0
Morehead State Eagles,Morehead State,Karam Mashour,F,78,210,JR,--,--,Ohio Valley,0,0
SIU-Edwardsville Cougars,SIU Edwardsville,Grant Fiorentinos,F-C,82,225,SO,"Cape Town, South Africa",South Africa,Ohio Valley,0,0
SIU-Edwardsville Cougars,SIU Edwardsville,Christian Salecich,G,75,195,SR,--,--,Ohio Valley,0,0
Tennessee State Tigers,Tennessee St,Chaed Wellian,F,80,190,SR,"Amsterdam, Netherlands",Netherlands,Ohio Valley,0,0
Tennessee Tech Golden Eagles,Tennessee Tech,Ammanuel Diressa,G,76,190,SO,"Toronto, ON",ON,Ohio Valley,0,0
Tennessee Tech Golden Eagles,Tennessee Tech,Dennis Ogbe,F,79,220,SR,"Munich, Germany",Germany,Ohio Valley,0,0
Tennessee Tech Golden Eagles,Tennessee Tech,Josiah Moore,G,77,215,SO,"Oakville, ON",ON,Ohio Valley,0,0
Tennessee-Martin Skyhawks,UT Martin,Javier Martinez,F,79,210,FR,--,--,Ohio Valley,0,0
Arizona State Sun Devils,Arizona State,Jordan Bachynski,C,86,250,SR,"Calgary, AB",AB,Pac-12,0,0
Arizona State Sun Devils,Arizona State,Egor Koulechov,G,77,205,FR,--,--,Pac-12,0,0
Arizona State Sun Devils,Arizona State,Jonathan Gilling,F,79,219,JR,--,--,Pac-12,0,0
California Golden Bears,California,Roger Moute a Bidias,F,79,200,FR,--,--,Pac-12,0,0
Oregon Ducks,Oregon,Jason Calliste,G,74,171,SR,"Scarborough, ON",ON,Pac-12,0,0
Oregon Ducks,Oregon,Richard Amardi,F,80,224,SR,"Scarborough, ON",ON,Pac-12,0,0
Oregon Ducks,Oregon,Waverly Austin,C,83,257,SR,--,--,Pac-12,0,0
Oregon State Beavers,Oregon State,Challe Barton,G,75,197,JR,"Goteborg, Sweden",Sweden,Pac-12,0,0
Oregon State Beavers,Oregon State,Malcolm Duvivier,G,74,205,FR,"Toronto, ON",ON,Pac-12,0,0
Oregon State Beavers,Oregon State,Angus Brandt,C,82,246,SR,--,--,Pac-12,0,0
Oregon State Beavers,Oregon State,Daniel Gomis,F,82,223,SO,--,--,Pac-12,0,0
Oregon State Beavers,Oregon State,Olaf Schaftenaar,F,82,224,SO,"Utrecht, Netherlands",Netherlands,Pac-12,0,0
Stanford Cardinal,Stanford,Stefan Nastic,C,83,245,JR,"Thornhill, ON",ON,Pac-12,0,0
Stanford Cardinal,Stanford,Rosco Allen,F,81,220,SO,"Budapest, Hungary",Hungary,Pac-12,0,0
Stanford Cardinal,Stanford,Dwight Powell,F,82,240,SR,"Toronto, ON",ON,Pac-12,0,0
UCLA Bruins,UCLA,Zach LaVine,G,77,180,FR,"Seattle, WA",WA,Pac-12,53033,53
UCLA Bruins,UCLA,Sooren Derboghosian,C,82,255,SR,"Tehran, Iran",Iran,Pac-12,0,0
USC Trojans,USC,Strahinja Gavrilovic,F,81,225,SO,--,--,Pac-12,0,0
USC Trojans,USC,Nikola Jovanovic,F,82,220,FR,--,--,Pac-12,0,0
USC Trojans,USC,Omar Oraby,C,86,270,SR,--,--,Pac-12,0,0
Utah Utes,Utah,Marko Kovacevic,F,83,217,JR,--,--,Pac-12,0,0
Utah Utes,Utah,Renan Lenz,F,81,218,SR,--,--,Pac-12,0,0
Utah Utes,Utah,Kenneth Ogbe,G,78,188,FR,--,--,Pac-12,0,0
Utah Utes,Utah,Dallin Bachynski,C,84,258,JR,"Calgary, AB",AB,Pac-12,0,0
Washington Huskies,Washington,Nigel Williams-Goss,G,75,185,FR,--,--,Pac-12,0,0
Washington Huskies,Washington,Gilles Dierickx,C,84,235,SO,--,--,Pac-12,0,0
Washington State Cougars,Washington St,Dexter Kernich-Drew,G,79,190,JR,--,--,Pac-12,0,0
