artist,debut_year,year,years_since_debut,debut_position,debut_songs,total_hits,best_position,return_songs,best_return_position,last_year,years_since_last
Adam Clayton,1996,2013,17,66,1,1,66,0,,1996,17
Adam Lambert,2010,2013,3,45,1,1,45,0,,2010,3
Adam Levine,2011,2013,2,36,1,2,36,0,,2012,1
Adam Wade,1961,2013,52,61,2,2,61,0,,1961,52
Adele,2011,2013,2,1,2,6,1,0,,2012,1
Adina Howard,1995,2013,18,13,1,1,13,0,,1995,18
Aerosmith,1976,2013,37,51,1,12,23,0,,2001,12
Afrojack,2011,2013,2,5,1,1,5,0,,2011,2
After 7,1990,2013,23,54,2,3,54,0,,1995,18
After The Fire,1983,2013,30,30,1,1,30,0,,1983,30
Ahmad,1994,2013,19,93,1,1,93,0,,1994,19
Air Supply,1980,2013,33,15,2,8,15,0,,1983,30
Akon,2004,2013,9,44,1,19,3,0,,2010,3
Al B. Sure!,1988,2013,25,87,1,1,87,0,,1988,25
Al Green,1971,2013,42,12,1,6,11,0,,1975,38
Al Hibbler,1956,2013,57,70,1,1,70,0,,1956,57
Al Hirt,1964,2013,49,12,2,2,12,0,,1964,49
Al Martino,1963,2013,50,21,2,3,21,0,,1964,49
Al Stewart,1977,2013,36,92,1,2,79,0,,1979,34
Al Wilson,1974,2013,39,15,1,1,15,0,,1974,39
Alabama,1981,2013,32,77,1,3,55,0,,1999,14
Alan Jackson,2002,2013,11,86,2,4,65,0,,2004,9
"Alan O'Day",1977,2013,36,9,1,1,9,0,,1977,36
Alan Parsons Project,1981,2013,32,48,2,3,32,0,,1982,31
Alanis Morissette,1996,2013,17,13,2,3,13,0,,2002,11
Alannah Myles,1990,2013,23,18,1,1,18,0,,1990,23
Albert Hammond,1973,2013,40,98,1,1,98,0,,1973,40
Alejandro Sanz,2005,2013,8,60,1,1,60,0,,2005,8
Alex Band Or Chad Kroeger,2003,2013,10,53,1,2,53,0,,2004,9
Alex Clare,2012,2013,1,30,1,1,30,0,,2012,1
Ali,2003,2013,10,40,1,1,40,0,,2003,10
Ali and Gipp,2006,2013,7,12,1,1,12,0,,2006,7
Alice Cooper,1972,2013,41,75,1,6,48,0,,1989,24
Alice Deejay,2000,2013,13,88,1,1,88,0,,2000,13
Alicia Bridges,1978,2013,35,88,1,2,64,0,,1979,34
Alicia Keyes,2010,2013,3,78,2,2,78,0,,2010,3
Alicia Keys,2001,2013,12,2,1,12,2,0,,2013,0
Alive and Kicking,1970,2013,43,47,1,1,47,0,,1970,43
All Saints,1998,2013,15,42,1,1,42,0,,1998,15
All-4-One,1994,2013,19,2,2,3,2,0,,1995,18
Allan Sherman,1963,2013,50,82,1,1,82,0,,1963,50
Allman Brothers,1973,2013,40,79,1,1,79,0,,1973,40
