year,order,rank,country,group,wc,result
2014,51,51,Montenegro,None,6,Didn't make World Cup :-(
2014,52,52,Iceland,None,6,Didn't make World Cup :-(
2014,53,52,Guinea,None,6,Didn't make World Cup :-(
2014,54,54,Sierra Leone,None,6,Didn't make World Cup :-(
2014,55,55,Norway,None,6,Didn't make World Cup :-(
2014,56,56,Cameroon,A,5,
2014,57,57,Mali,None,6,Didn't make World Cup :-(
2014,58,57,Korea Republic,H,5,
2014,59,59,Uzbekistan,None,6,Didn't make World Cup :-(
2014,60,60,Burkina Faso,None,6,Didn't make World Cup :-(
2014,61,61,Finland,None,6,Didn't make World Cup :-(
2014,62,62,Australia,B,5,
2014,63,63,Jordan,None,6,Didn't make World Cup :-(
2014,64,64,Libya,None,6,Didn't make World Cup :-(
