company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,funding_round_type,funded_at,raised_amount_usd
/company/aardvark,Aardvark,web,USA,CA,SF Bay,San Francisco,angel,2007-01-01,750000
/company/aardvark,Aardvark,web,USA,CA,SF Bay,San Francisco,series-a,2008-10-01,5250000
/company/aarki,Aarki,advertising,USA,CA,SF Bay,Sunnyvale,series-a,2012-03-08,
/company/aarki,Aarki,advertising,USA,CA,SF Bay,Sunnyvale,angel,2011-06-01,
/company/aastrom-biosciences,Aastrom Biosciences,biotech,USA,MI,Detroit,Ann Arbor,venture,2012-03-09,40000000
/company/abacast-inc,Abacast,analytics,USA,WA,Vancouver,Vancouver,venture,2010-11-11,500000
/company/abakan-inc,Abakan,cleantech,USA,FL,Miami,Miami,other,2013-06-05,153200
/company/abakan-inc,Abakan,cleantech,USA,FL,Miami,Miami,angel,2013-01-18,687700
/company/abakan-inc,Abakan,cleantech,USA,FL,Miami,Miami,venture,2012-12-12,349600
/company/abakan-inc,Abakan,cleantech,USA,FL,Miami,Miami,angel,2012-10-19,787500
/company/abakan-inc,Abakan,cleantech,USA,FL,Miami,Miami,angel,2012-05-10,1306595
/company/abakan-inc,Abakan,cleantech,USA,FL,Miami,Miami,angel,2012-03-20,741600
/company/abazab,Abazab,,USA,CA,SF Bay,Campbell,venture,2006-05-05,4100000
/company/abbeypost,AbbeyPost,ecommerce,USA,NY,New York,New York,angel,2013-07-30,25000
/company/abes-market,Abe's Market,ecommerce,USA,MN,Minneapolis,Minneapolis,angel,2010-06-29,
/company/abes-market,Abe's Market,ecommerce,USA,MN,Minneapolis,Minneapolis,venture,2011-02-10,3400000
/company/abes-market,Abe's Market,ecommerce,USA,MN,Minneapolis,Minneapolis,venture,2013-01-17,5000000
/company/abes-market,Abe's Market,ecommerce,USA,MN,Minneapolis,Minneapolis,series-a,2012-10-31,680000
/company/abeo,abeo,medical,USA,TX,Dallas,Dallas,venture,2011-11-30,2012700
/company/abgenomics,AbGenomics,biotech,USA,CA,SF Bay,Los Altos,venture,2013-07-18,9600000
/company/abgenomics,AbGenomics,biotech,USA,CA,SF Bay,Los Altos,series-a,2012-06-19,16850000
